record_id|name|institution|year
287466|Saraf al-Dīn Muhammad al-Masʿūdī al-Marwazī||
131447|Scipione Fortiguerra||
143082|Sebastian Beck||
232627|Sebastian Niemann||
127898|Sethus Calvisius||
204293|Shams al‐Dīn al‐Bukhārī||
230926|Sharaf al-Dīn al-Ṭūsī||
208259|Siegmund Jakob Baumgarten||
164338|Sigismondo Polcastro||
182045|Simon Grynaeus||
125971|Simon Paul Hilscher||
182092|Simon Sulzer||
17865|Siméon Denis Poisson|cole Polytechnique|
125148|Theodor Zwinger||
143083|Theodor Zwinger, Jr.||
184631|Theodore Metochites||
131584|Theodoros Gazes||
141571|Thomas Cranmer||
125378|Thomas Erpenius||
140181|Thomas von Kempen à Kempis||
126659|Ulrich Zasius||
137717|Valentin Alberti||
127092|Valentin Thau||
125160|Valentine Naibod||
46039|Vincenzo Brunacci||
152905|Vittore Trincavelli||
134873|Vittorino da Feltre||
125154|Werner Rolfinck||
125302|Willebrord (Snel van Royen) Snellius||
15582|William Anthony Wolovich|Brown University|
131399|Wolfgang Fabricius Capito||
